Designator,Mid X,Mid Y,Layer,Rotation
C1,36.975,-21.575,top,90
C2,32.85,-21.75,top,-90
C3,29.625,-21.775,top,90
C4,36.964056,-24.575,top,-90
C5,30.9,-24.875,top,-90
C6,21.67,-27.37,top,180
C7,36.939056,-27.575,top,-90
C8,30.15,-27.76,top,180
C9,32.5,-27.78,top,0
C10,23.74,-28.54,top,0
C11,18.25,-28.85,top,90
C12,21.72,-30.26,top,180
C13,21.67,-28.31,top,180
C14,29.59,-29.17,top,90
C15,18.25,-34.975,top,90
C16,18.2,-48.65,top,90
C17,31.7,-53.711824,top,-90
C18,27.87,-54.6,top,-90
C19,18.2,-54.825,top,-90
C20,31.49,-55.136824,top,180
C21,30.775,-56.066824,top,0
C22,25.26,-56.45,top,180
C23,18.15,-62.275,top,90
C24,37.1,-69.025,top,-90
C25,33.02776,-69.473704,top,90
C26,21.725,-69.498704,top,-90
C27,23.975,-70.698704,top,180
C28,31.87,-30.6,top,0
C29,25.58,-31.12,top,0
FB1,18.2,-51.8,top,-90
L1,26.825,-69.386204,top,-90
R1,18.25,-21.65,top,-90
R2,18.25,-24.65,top,90
R3,33.75,-24.75,top,-90
R4,29.475,-24.875,top,90
R5,32.325,-24.875,top,-90
R6,21.69,-26.44,top,180
R7,23.61,-26.44,top,180
R8,30.14,-26.83,top,180
R9,23.58,-27.38,top,180
R10,32.09,-26.83,top,0
R11,31.66,-29.17,top,90
R12,32.7,-29.17,top,90
R13,23.64,-30.25,top,0
R14,30.01,-30.65,top,180
R15,21.87,-31.22,top,180
R16,23.73,-31.32,top,180
R17,18.25,-31.9,top,90
R18,33.55,-32.125,top,90
R19,18.2,-39.225,top,90
R20,28.35,-39.45,top,180
R21,31,-39.46,top,0
R22,18.2,-42.425,top,-90
R23,18.2,-45.525,top,90
R24,30.7,-53.736824,top,90
R25,24.31,-54.2,top,90
R26,25.81,-54.2,top,-90
R27,29.54,-55.136824,top,0
R30,32.64,-53.72,top,-90
R31,24.242719,-39.44,top,0
R32,21.7,-29.29,top,180
R33,30.57,-29.17,top,-90
U2,26.849999,-28.5522,top,0
U3,27,-35.4194,top,90
U5,28.025,-61.075,top,-90
Y1,30.57776,-69.448704,top,90
U1,31.221,-21.913961,top,-90
U4,27.2746,-46.297166,top,0
U6,24.125,-68.668704,top,-90
P1,19.76,-46.07,bottom,-90
P2,35,-46.07,bottom,-90
